experiment_id,blocking_strategy,feature_set,model,threshold,candidate_count,candidate_recall,precision,recall,macro_f05,s1_s2_f05,s1_s3_f05,singleton_prec,runtime_sec,notes
phase1_logisticregression,multi_pass_v2,16_features,LogisticRegression,0.5,1327250,0.7221303112228133,0.9818478071601601,0.7120537012987012,0.8421874598741004,0.9123605736398817,0.8963363680344812,0.9425925925925925,2.424088954925537,"Phase 1 sample, 10000 val S1 entities"
phase1_randomforest,multi_pass_v2,16_features,RandomForest,0.5,1327250,0.7221303112228133,0.9832346428571429,0.7219545743145743,0.8488349522647998,0.9145067988881377,0.9065312851036516,0.9481481481481482,52.254921197891235,"Phase 1 sample, 10000 val S1 entities"
phase1_xgboost,multi_pass_v2,16_features,XGBoost,0.55,1327250,0.7221303112228133,0.9852967857142856,0.7208351695526696,0.8497254173488548,0.9162716023204036,0.9065306300668053,0.9537037037037037,8.192821502685547,"Phase 1 sample, 10000 val S1 entities"
